JobTitle,CompanyName,Location,Date,Link,Type,Skills,Experience
Senior Data Management Engineer,Ejada,"Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/hBvUbhBkorHH-Senior-Data-Management-Engineer-Ejada-Cairo-Egypt?o=1&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  data engineer, 5+ Yrs of Exp 
Data Management Engineer,Ejada,"Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/dQBEtUvciP43-Data-Management-Engineer-Ejada-Cairo-Egypt?o=2&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Computer Science  Data Engineering, 3 - 5 Yrs of Exp 
Data Analyst,Safa International Travel,"Dokki, Giza, Egypt",2 days ago,https://wuzzuf.net/jobs/p/DXVhZh7EX9nn-Data-Analyst-Safa-International-Travel-Giza-Egypt?o=3&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Business Development  Analyst/Research  Analyze  Analysis  BI  business  Computer Science  Data  Data Analysis  Database, 3 - 5 Yrs of Exp 
Big Data Engineer,Worex,"Maadi, Cairo, Egypt",2 days ago,https://wuzzuf.net/jobs/p/nyW6cF5Ydjnt-Big-Data-Engineer-Worex-Cairo-Egypt?o=4&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Data  Big Data  Information Technology (IT)  Computer Engineering  Hadoop  ETL  NoSQL, 2 - 4 Yrs of Exp 
Data Entry Clerk,IPMagiX,"Zamalek, Cairo, Egypt",3 days ago,https://wuzzuf.net/jobs/p/bkVc3WTd71De-Data-Entry-Clerk-IPMagiX-Cairo-Egypt?o=5&l=sp&t=sj&a=data |search-v3|navbg,Freelance / Project, Administration  Customer Service/Support  Writing/Editorial  CRM  Data Entry  Microsoft Office  Database  system, 1 - 2 Yrs of Exp 
Data Analyst,ITCan,"New Cairo, Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/aiRSu9WV14YS-Data-Analyst-ITCan-Cairo-Egypt?o=6&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Analyst/Research  BI  Analysis  analytical  Computer Science  Data Analysis  Development  Engineering  Information Technology (IT)  Power BI, 3 - 5 Yrs of Exp 
Data Engineer - SSIS (On-site),SANTECHTURE,"Cairo, Egypt",5 days ago,https://wuzzuf.net/jobs/p/uJ8LK6aN1Sry-Data-Engineer---SSIS-On-site-SANTECHTURE-Cairo-Egypt?o=7&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  ETL  Data Analytics  SQL, 4 - 7 Yrs of Exp 
Data Analyst,London International Patient Services,"Sheraton, Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/oi4BuGQEFaXn-Data-Analyst-London-International-Patient-Services-Cairo-Egypt?o=8&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Customer Support  XML  Software Development  Computer Skills  English  Support Desk  Technical Support, 1 - 2 Yrs of Exp 
Data Entry,Monglish Academy,"San Stefano, Alexandria, Egypt",6 days ago,https://wuzzuf.net/jobs/p/Nw1tsexe11qh-Data-Entry-Monglish-Academy-Alexandria-Egypt?o=9&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Administration  entry  excel  Microsoft Office  Office clerk  MS Office  MS  Data Entry  Administration, 2 - 6 Yrs of Exp 
Data Scientist,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt",7 days ago,https://wuzzuf.net/jobs/p/VssduzQBDTOi-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=10&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Computer Science  Data Science  Programming  Python  Algorithms  SQL, 1 - 4 Yrs of Exp 
Senior Data Analyst,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt",8 days ago,https://wuzzuf.net/jobs/p/YI5pC9RYrl9S-Senior-Data-Analyst-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=11&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Business Development  Analyst/Research  Analysis  analytical  Analyst  Business Intelligence  business  Data  Data Analysis  Information Technology (IT), 2 - 5 Yrs of Exp 
Data Entry Specialist,Zaki Hashem & Partners,"Downtown, Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/MbRS9FI0JLF5-Data-Entry-Specialist-Zaki-Hashem-Partners-Cairo-Egypt?o=12&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Writing/Editorial  Legal  Administration  Computer Skills  Data Entry  Grammar  law firms  typing skills  Typing, 2 - 6 Yrs of Exp 
Data Entry Specialist,FRIDAL,"6th of October, Giza, Egypt",4 minutes ago,https://wuzzuf.net/jobs/p/IFW9ZrpNBwUx-Data-Entry-Specialist-FRIDAL-Giza-Egypt?o=13&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Data Entry  Microsoft Office  Administration  Typing  Documentation  Admin  Computer Skills  English, 1 - 2 Yrs of Exp 
Data Entry Specialist,Mazzika Group,"Dokki, Giza, Egypt",3 minutes ago,https://wuzzuf.net/jobs/p/r7BVuJVeT9b0-Data-Entry-Specialist-Mazzika-Group-Giza-Egypt?o=14&l=sp&t=sj&a=data |search-v3|navbg,Full Time, females_only  Administration  Microsoft Office  Administration  Secretary  Data Entry  Admin  Typing Skills  Office Management  Microsoft, 0 - 1 Yrs of Exp 
Data Engineer,Ejada,"Cairo, Egypt",9 days ago,https://wuzzuf.net/jobs/p/yGJTY5poSrkP-Data-Engineer-Ejada-Cairo-Egypt?o=15&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Computer Engineering  Data, 3 - 5 Yrs of Exp 
Electronic Data Interchange (EDI) Analyst (Fluent English Speakers Only),FlairsTech,"Cairo, Egypt",3 days ago,https://wuzzuf.net/jobs/p/wJzXSreeqlYZ-Electronic-Data-Interchange-EDI-Analyst-Fluent-English-Speakers-Only-FlairsTech-Cairo-Egypt?o=16&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Computer Science  Customer Service  Information Technology (IT)  Oracle  SSIS  SSRS  SQL  Electronic Data Interchange (EDI), 1 - 3 Yrs of Exp 
Accountant & Data Entry,Al-Khail Industries & Trading,"Azbakia, Cairo, Egypt",9 days ago,https://wuzzuf.net/jobs/p/bEHa1ReVnAc3-Accountant-Data-Entry-Al-Khail-Industries-Trading-Cairo-Egypt?o=17&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Logistics/Supply Chain  Sales/Retail  Data Entry  Accounting  Microsoft Excel  Customer Service, 3+ Yrs of Exp 
Data entry (Males only),Solikgroup,"Sidi Gaber, Alexandria, Egypt",13 days ago,https://wuzzuf.net/jobs/p/ANMtrY2YgOGQ-Data-entry-Males-only-Solikgroup-Alexandria-Egypt?o=18&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Customer Service/Support  Writing/Editorial  Customer Service  entry  Microsoft  Microsoft Office  Management  Skills  Data Entry, 2 - 4 Yrs of Exp 
Data Processor - Offshore,Petrological Integrated Solutions,"Stanley, Alexandria, Egypt",13 days ago,https://wuzzuf.net/jobs/p/H3T8IPPk9LWi-Data-Processor---Offshore-Petrological-Integrated-Solutions-Alexandria-Egypt?o=19&l=sp&t=sj&a=data |search-v3|navbg,Full Time, males_only  Engineering - Construction/Civil/Architecture  AutoCAD  Data Processing  Oil Field  Engineering Field  Data Processor  offshore  English, 1 - 2 Yrs of Exp 
Digital Data Reviewer,Arabian Systems,"New Cairo, Cairo, Egypt",10 days ago,https://wuzzuf.net/jobs/p/HxEQLYQLyMMl-Digital-Data-Reviewer-Arabian-Systems-Cairo-Egypt?o=20&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Data Analysis  Digital Marketing  Creative  Marketing  Social Media  Microsoft Excel  English  Social Network, 1 - 3 Yrs of Exp 
Data Entry Specialist - Full Time,Kreston,"Maadi, Cairo, Egypt",10 days ago,https://wuzzuf.net/jobs/p/8LmsqVDboIcH-Data-Entry-Specialist---Full-Time-Kreston-Cairo-Egypt?o=21&l=sp&t=sj&a=data |search-v3|navbg,Full Time, females_only  Administration  Writing/Editorial  Data Entry  Administration  English  Typing  Admin  Typing Skills  Microsoft Office  Speed, 0 - 2 Yrs of Exp 
Data Analyst,Othaim,"Katameya, Cairo, Egypt",10 days ago,https://wuzzuf.net/jobs/p/F2KQo3eVWbYv-Data-Analyst-Othaim-Cairo-Egypt?o=22&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Computer Science  Information Technology (IT)  Data Analysis  Analyst, 3 - 15 Yrs of Exp 
Data Analyst,Confidential,"Heliopolis, Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/oFzMDbFWIJE6-Data-Analyst-Cairo-Egypt?o=23&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Business Development  Analyst/Research  analytical  Analyst  Data  Data Analyst, 2 - 6 Yrs of Exp 
Data Entry,Da3em Academy,"Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/IBr8k7Wtf9W5-Data-Entry-Da3em-Academy-Cairo-Egypt?o=24&l=sp&t=sj&a=data |search-v3|navbg,Full TimeWork From Home, females_only  Administration  Customer Service/Support  Data Entry  Administration  Customer Service  Microsoft Office, 2 - 5 Yrs of Exp 
Senior data engineering,Ejada,"Cairo, Egypt",9 days ago,https://wuzzuf.net/jobs/p/qWvxu12Phvwr-Senior-data-engineering-Ejada-Cairo-Egypt?o=25&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Automation  Computer Science, 5 - 7 Yrs of Exp 
Data Entry,Advansys for Trading & Contracting,"Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/KkDZw5CsPDwv-Data-Entry-Advansys-for-Trading-Contracting-Cairo-Egypt?o=26&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Administration  MS Office  excel  Data Entry, 1 - 3 Yrs of Exp 
Data Engineer,Confidential,"Riyadh, Saudi Arabia",14 days ago,https://wuzzuf.net/jobs/p/LVST1WucMPkm-Data-Engineer-Riyadh-Saudi-Arabia?o=27&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Data Engineer  ETL  SQL  Teradata  Unix, 2 - 15 Yrs of Exp 
Data Science Software Engineer Intern,Seuqel Solutions,"Cairo, Egypt",13 days ago,https://wuzzuf.net/internship/woPTqpa9WDRl-Data-Science-Software-Engineer-Intern-Seuqel-Solutions-Cairo-Egypt?o=28&l=sp&t=sj&a=data |search-v3|navbg,Internship, IT/Software Development  Engineering - Telecom/Technology  Computer Science  Algorithms  Information Technology (IT)  Python  Software  Software Development  Software Engineering  Programming, 0 - 1 Yrs of Exp 
Data Analysis & Operation Control Supervisor,Sky logistics,"Sheikh Zayed, Giza, Egypt",19 days ago,https://wuzzuf.net/jobs/p/pGT14JsHG0xQ-Data-Analysis-Operation-Control-Supervisor-Sky-logistics-Giza-Egypt?o=29&l=sp&t=sj&a=data |search-v3|navbg,Full Time, females_preferred  Other  Analyst/Research  SQL  Advanced Excel  Power BI  Visual Basic  Data Analysis  Leadership  excel  Reports, 5 - 7 Yrs of Exp 
Content & Data Entry Specialist,IVAS,"Agouza, Giza, Egypt",17 days ago,https://wuzzuf.net/jobs/p/vuPoNSpTxs13-Content-Data-Entry-Specialist-IVAS-Giza-Egypt?o=30&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Writing/Editorial  Marketing/PR/Advertising  Data Entry  Content  Administration  Translation  Writing  Editorial  Microsoft Office, 0 - 1 Yrs of Exp 
Data Specialist-SSIS,SANTECHTURE,"Cairo, Egypt",22 days ago,https://wuzzuf.net/jobs/p/xf0c7ZF5hHvq-Data-Specialist-SSIS-SANTECHTURE-Cairo-Egypt?o=31&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Data  Engineering  Information Technology (IT)  SSIS  SQL  ETL, 10 - 15 Yrs of Exp 
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen,"Zamalek, Cairo, Egypt",22 days ago,https://wuzzuf.net/jobs/p/DJ5VofdSWmu7-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt?o=32&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Analysis  BI  Computer Science  Data  analytical  Information Technology (IT)  Reporting, 1 - 3 Yrs of Exp 
Data Entry Specialist,Tripathon,"Cairo, Egypt",21 days ago,https://wuzzuf.net/jobs/p/JVSEj5jXElf9-Data-Entry-Specialist-Tripathon-Cairo-Egypt?o=33&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Data Entry  English  Administration, 0 - 3 Yrs of Exp 
Data Scientist Manager,Tamweely,"Shubra, Cairo, Egypt",23 days ago,https://wuzzuf.net/jobs/p/TDvGLGflJdwP-Data-Scientist-Manager-Tamweely-Cairo-Egypt?o=34&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Analyst/Research  Data  Data Analysis  Economics  Mathematics  Statistics  Reporting, 7 - 10 Yrs of Exp 
Data Entry Specialist,Botit,"Abdeen, Cairo, Egypt",23 days ago,https://wuzzuf.net/jobs/p/qFySt7D8imaT-Data-Entry-Specialist-Botit-Cairo-Egypt?o=35&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Writing/Editorial  Data Entry  Microsoft Office  MS Office  Typing  Data  Administration, 0 - 3 Yrs of Exp 
Senior Big Data Engineer,BBI-Consultancy,"Cairo, Egypt",24 days ago,https://wuzzuf.net/jobs/p/szkVNPPVlKHy-Senior-Big-Data-Engineer-BBI-Consultancy-Cairo-Egypt?o=36&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Big Data  Computer Science  Data  Software Development, 4 - 7 Yrs of Exp 
Senior Data Modeler,BBI-Consultancy,"Cairo, Egypt",24 days ago,https://wuzzuf.net/jobs/p/MSfNAjuV95Yw-Senior-Data-Modeler-BBI-Consultancy-Cairo-Egypt?o=37&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  analytical  Computer Science  Data  Data Mining  Database  Information Technology (IT)  SQL  Data Modeling  Data Modeler, 4 - 7 Yrs of Exp 
Data Analysis Instructor,Zero Grad,"Cairo, Egypt",24 days ago,https://wuzzuf.net/jobs/p/glEl5GNkK8SZ-Data-Analysis-Instructor-Zero-Grad-Cairo-Egypt?o=38&l=sp&t=sj&a=data |search-v3|navbg,Freelance / ProjectWork From Home, IT/Software Development  Analyst/Research  Training/Instructor  Online Teaching  Data Analysis  Data Analyst, 1 - 3 Yrs of Exp 
Lead Data Engineer,SANTECHTURE,"Cairo, Egypt",23 days ago,https://wuzzuf.net/jobs/p/fOot2K6pC4ZG-Lead-Data-Engineer-SANTECHTURE-Cairo-Egypt?o=39&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  SSIS  SSRS  Power BI  SQL Server, 7 - 15 Yrs of Exp 
Senior Big Data ETL Engineer (KSA),Ejada,"Riyadh, Saudi Arabia",27 days ago,https://wuzzuf.net/jobs/p/3BMwGY5PKXLT-Senior-Big-Data-ETL-Engineer-KSA-Ejada-Riyadh-Saudi-Arabia?o=40&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Business Intelligence  Computer Engineering  Data Warehousing, 4 - 5 Yrs of Exp 
Data Engineer,Wadi Degla Clubs Company,"Maadi, Cairo, Egypt",28 days ago,https://wuzzuf.net/jobs/p/Nw7USXcXy2Y7-Data-Engineer-Wadi-Degla-Clubs-Company-Cairo-Egypt?o=41&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Computer Engineering  Computer Science  Information Technology (IT)  Data  Data Engineering  computer, 3 - 4 Yrs of Exp 
"Data Scientist ""Senior/Lead""",Confidential,"New Cairo, Cairo, Egypt",30 days ago,https://wuzzuf.net/jobs/p/PmQv2opPhA7S-Data-Scientist-SeniorLead-Cairo-Egypt?o=42&l=sp&t=sj&a=data |search-v3|navbg,Full Time, R&D/Science  IT/Software Development  Algorithms  Computer Science  Data Science  Information Technology (IT)  Python  Spark  Statistics  Machine Learning, 2 - 10 Yrs of Exp 
Data Science/Machine learning/AI Instructor,EpsilonAI,"Nasr City, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/z1WUTO5z3VPv-Data-ScienceMachine-learningAI-Instructor-EpsilonAI-Cairo-Egypt?o=43&l=sp&t=sj&a=data |search-v3|navbg,Full TimePart Time, IT/Software Development  Engineering - Telecom/Technology  Training/Instructor  Data Science  Computer Science  Computer Engineering  Python  Machine Learning  Deep Learning  Artificial Intelligence (AI), 1+ Yrs of Exp 
Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI,"Nasr City, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/9a6xAonGON6o-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=44&l=sp&t=sj&a=data |search-v3|navbg,Full TimePart TimeFreelance / Project, IT/Software Development  Analyst/Research  Training/Instructor  Analysis  business  Business Intelligence  Data Analysis  Computer Science  Power BI  SQL, 1+ Yrs of Exp 
Project Manager - Data Networks (ICT),SABA,"Heliopolis, Cairo, Egypt",29 days ago,https://wuzzuf.net/jobs/p/pdQGIrysgCgT-Project-Manager---Data-Networks-ICT-SABA-Cairo-Egypt?o=45&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Project/Program Management  Engineering - Telecom/Technology  Project Management  Software Engineering  Data Networks  Networks  PMP  Microsoft Visio  Smartdraw, 2 - 5 Yrs of Exp 
Data Analyst,Hands of Hope Physical Therapy & Wellness,"Maadi, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/vgk1zH3toGcK-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=46&l=sp&t=sj&a=data |search-v3|navbg,Full Time, R&D/Science  IT/Software Development  Analyst/Research  Analysis  Analyst  Data  Data Analysis  Data Analyst  Information Technology (IT)  Tableau, 3 - 5 Yrs of Exp 
Data Analyst,Natcom,"Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/kpNgil7J4AhE-Data-Analyst-Natcom-Cairo-Egypt?o=47&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Sales/Retail  Sales  Retail  Retail Sales  Retail Business, 2 - 6 Yrs of Exp 
ERPNext Specialist/Data Analyst,Confidential,"Alexandria, Egypt",1 month ago,https://wuzzuf.net/jobs/p/sQk7nEB7BSrD-ERPNext-SpecialistData-Analyst-Alexandria-Egypt?o=48&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Business Intelligence  BI  Data Analyst  Data Mining  Power BI  Data Analysis  ERPNext  ERP Implementation  Technical Support, 5+ Yrs of Exp 
Data Entry Specialist,TheCloudReference,"Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/vuEEu6FHF8tt-Data-Entry-Specialist-TheCloudReference-Cairo-Egypt?o=49&l=sp&t=sj&a=data |search-v3|navbg,Full TimeWork From Home, Administration  Customer Service/Support  IT/Software Development  Data Entry  excel  Customer Service  English  Administration, 0 - 3 Yrs of Exp 
Commercial Data Management Specialist,Hikma Pharmaceuticals,"6th of October, Giza, Egypt",1 month ago,https://wuzzuf.net/jobs/p/T5E6bqEiuS1B-Commercial-Data-Management-Specialist-Hikma-Pharmaceuticals-Giza-Egypt?o=50&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Business Development  Sales/Retail  Data Analysis  Data Management  commercial analyst  English  Microsoft Office, 2 - 5 Yrs of Exp 
Data Analyst,Nugttah,"Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/9Y9VzyWdrDBD-Data-Analyst-Nugttah-Cairo-Egypt?o=51&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Computer Science  Information Technology (IT)  Data Analysis  Data visualization  Data, 1 - 4 Yrs of Exp 
Data Entry Clerk,Meezy,"Gent, Belgium",1 month ago,https://wuzzuf.net/jobs/p/3dQR2pFisfNE-Data-Entry-Clerk-Meezy-Gent-Belgium?o=52&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Data Entry  CMS  Microsoft Excel  Ecommerce, 1 - 2 Yrs of Exp 
Data Entry - Ain El Sokhna (Multinational Logistics CO.),Pillars,"Ain Sokhna, Suez, Egypt",1 month ago,https://wuzzuf.net/jobs/p/UH7EMaPoYRSx-Data-Entry---Ain-El-Sokhna-Multinational-Logistics-CO-Pillars-Suez-Egypt?o=53&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Arabic  Data  Data Entry  Microsoft  Microsoft Office  Typing  Business English  Administration, 2 - 4 Yrs of Exp 
Data Analyst (On-Site),Union Coop,"Dokki, Giza, Egypt",1 month ago,https://wuzzuf.net/jobs/p/eROfuCLRdqE6-Data-Analyst-On-Site-Union-Coop-Giza-Egypt?o=54&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Computer Science  Power BI  SSIS  SSRS  SSAS  Data Warehouse  Information Technology (IT)  ETL, 6+ Yrs of Exp 
Senior Data Engineer (Hybrid),SSC Egypt,"New Cairo, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/XyRQ3AuhAOdG-Senior-Data-Engineer-Hybrid-SSC-Egypt-Cairo-Egypt?o=55&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Banking  IT/Software Development  cloudera  Computer Engineering  Data  Data Modeling  Modeling  Spark, 4 - 5 Yrs of Exp 
WMS - Data entry coordinator,Logistica,"6th of October, Giza, Egypt",1 month ago,https://wuzzuf.net/jobs/p/VzOShPgegDOI-WMS---Data-entry-coordinator-Logistica-Giza-Egypt?o=56&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Logistics/Supply Chain  SAP  WMS  Data Entry  Microsoft Excel, 1 - 3 Yrs of Exp 
Data Entry Specialist (Night Shift Only),Micro Engineering,"Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/s3uv9AhqFIKZ-Data-Entry-Specialist-Night-Shift-Only-Micro-Engineering-Cairo-Egypt?o=57&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Customer Service  Data Entry  Microsoft Office  Skills  computer  quality  reports, Customer Service/Support 
WMS Data entry Specialist,Logistica,"6th of October, Giza, Egypt",1 month ago,https://wuzzuf.net/jobs/p/KoNmIWmxdgek-WMS-Data-entry-Specialist-Logistica-Giza-Egypt?o=58&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Logistics/Supply Chain  ERP  WMS  Data Entry  Warehouse Management, 1 - 5 Yrs of Exp 
Senior Market Research & Data Analyst,Onecard,"Nasr City, Cairo, Egypt",2 months ago,https://wuzzuf.net/jobs/p/5havDdtkPedg-Senior-Market-Research-Data-Analyst-Onecard-Cairo-Egypt?o=59&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Analyst/Research  SPSS  Market Research  Analysis  Statistics  Microsoft Office  Web Analysis, 3 - 5 Yrs of Exp 
Data Entry Specialist (Part-time on Weekends),Micro Engineering,"Heliopolis, Cairo, Egypt",2 months ago,https://wuzzuf.net/jobs/p/3AXQOAfzKppw-Data-Entry-Specialist-Part-time-on-Weekends-Micro-Engineering-Cairo-Egypt?o=60&l=sp&t=sj&a=data |search-v3|navbg,Part Time, Customer Service/Support  computer  Data Entry  Microsoft Office  reports  quality  Skills  students  social, Administration 
data security engineer,AMLAK Finance - Egypt,"Mohandessin, Giza, Egypt",1 month ago,https://wuzzuf.net/jobs/p/TA36IYfd4Wch-data-security-engineer-AMLAK-Finance---Egypt-Giza-Egypt?o=61&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  computer  Computer Engineering  Computer Science  Engineering  Information Security  Information Technology (IT)  Science  Security, 3 - 4 Yrs of Exp 
Big Data Management Informatica (BDM) Engineer,Ejada,"Riyadh, Saudi Arabia",2 months ago,https://wuzzuf.net/jobs/p/xclhpJKBG4zG-Big-Data-Management-Informatica-BDM-Engineer-Ejada-Riyadh-Saudi-Arabia?o=62&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Big Data  data quality  HBase  HDFS  impala  Informatica  quality  Spark  Apache Hive, 3 - 6 Yrs of Exp 
Data Administrator Trainee,LEONI Wiring System Egypt S.A.E,"Nasr City, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/g97DRSwavhlV-Data-Administrator-Trainee-LEONI-Wiring-System-Egypt-S-A-E-Cairo-Egypt?o=63&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Software Development  Communication skills  Information Technology (IT)  English  Software Engineering, 0 - 1 Yrs of Exp 
Data Entry Specialist,Micro Engineering,"Heliopolis, Cairo, Egypt",2 months ago,https://wuzzuf.net/jobs/p/KkrGYIeIqjue-Data-Entry-Specialist-Micro-Engineering-Cairo-Egypt?o=64&l=sp&t=sj&a=data |search-v3|navbg,Full TimeShift Based, R&D/Science  Customer Service/Support  Microsoft Office  quality  reports  Skills  computer  Data Entry  students, Administration 
Data Scientist,Monty Mobile,"Cairo, Egypt",2 months ago,https://wuzzuf.net/jobs/p/JH95wpLfTvip-Data-Scientist-Monty-Mobile-Cairo-Egypt?o=65&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Telecom/Technology  Data Science  Python  Information Technology (IT), 1 - 10 Yrs of Exp 
Senior Data Modeler (KSA),Ejada,"Riyadh, Saudi Arabia",2 months ago,https://wuzzuf.net/jobs/p/KMHaeUQK1n4e-Senior-Data-Modeler-KSA-Ejada-Riyadh-Saudi-Arabia?o=66&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Analysis  Computer Science  Data Modeling, 6 - 10 Yrs of Exp 
Fleet Data Analyst,Seoudi Supermarket,"Giza, Egypt",2 months ago,https://wuzzuf.net/jobs/p/NRZEWQsyXaRd-Fleet-Data-Analyst-Seoudi-Supermarket-Giza-Egypt?o=67&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Operations/Management  Analyst/Research  Analyst  analytical  Data  Data Analyst  Finance  Data Analysis  Analysis, 3 - 4 Yrs of Exp 
Big Data Business Analyst (KSA),Ejada,"Riyadh, Saudi Arabia",2 months ago,https://wuzzuf.net/jobs/p/3WcwR403QPI7-Big-Data-Business-Analyst-KSA-Ejada-Riyadh-Saudi-Arabia?o=68&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  business  Analysis  Data Analysis, 7 - 10 Yrs of Exp 
BI & DWH Sr. Specialist,Masary,"Maadi, Cairo, Egypt",6 days ago,https://wuzzuf.net/jobs/p/LQWlkPdEnEBx-BI-DWH-Sr-Specialist-Masary-Cairo-Egypt?o=69&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Computer Science  BI  Data Warehouse  Oracle  SQL  ETL  SQL Server, 4 - 7 Yrs of Exp 
