JobTitle,CompanyName,Location,Date,Link,Type,Skills,Experience
Software Tester,Houya Arrow,"Heliopolis, Cairo, Egypt",29 days ago,https://wuzzuf.net/jobs/p/pQUtaqM8DT48-Software-Tester-Houya-Arrow-Cairo-Egypt?o=774&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Quality  Software Tester  Computer Science  Quality Control  Software Testing  Performance, 4 - 15 Yrs of Exp 
Civil Technical Office Engineer,Lasirena Group,"Maadi, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/w85K9n6agxr6-Civil-Technical-Office-Engineer-Lasirena-Group-Cairo-Egypt?o=775&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Construction/Civil/Architecture  Civil Engineering  Engineering  Civil  Civil 3D  Rivet  3D  AutoCAD  Microsoft Office  Tekla, 3 - 6 Yrs of Exp 
Help Desk Specialist,Al Amin Technological Systems,"Heliopolis, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/Y9edxQBeGT96-Help-Desk-Specialist-Al-Amin-Technological-Systems-Cairo-Egypt?o=776&l=sp&t=sj&a=data |search-v3|navbg,Full Time, males_only  Installation/Maintenance/Repair  IT/Software Development  Help desk  Information technology  Support  Software  Installation  computer, 2 - 4 Yrs of Exp 
Senior Sales Account Manager ( Electrical Engineer ),Delta Egypt For Lighting,"Obour City, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/0DaWMrdtLx2l-Senior-Sales-Account-Manager-Electrical-Engineer-Delta-Egypt-For-Lighting-Cairo-Egypt?o=777&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Sales/Retail  Engineering - Mechanical/Electrical  Communication  sales skills  Sales Target  Skills  Electrical Engineering  Engineering  Negotiation  Sales, 6 - 8 Yrs of Exp 
Key Account Manager,DHL Express Egypt,"Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/ZBngeIJCYyoS-Key-Account-Manager-DHL-Express-Egypt-Cairo-Egypt?o=778&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Customer Service/Support  Sales/Retail  Sales  Sales Skills  Indoor Sales  Outdoor Sales  Customer Service  Customer Care  Customer Support  Account Management, 4 - 6 Yrs of Exp 
Administrative Assistant,Evyap Egypt,"Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/2USSycodqa3q-Administrative-Assistant-Evyap-Egypt-Cairo-Egypt?o=779&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Administration  Executive Secretary  Secretary, 1 - 3 Yrs of Exp 
Chief Accountant,Confidential,"Sheikh Zayed, Giza, Egypt",14 days ago,https://wuzzuf.net/jobs/p/wuYEx7aqRBR8-Chief-Accountant-Giza-Egypt?o=780&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Operations/Management  Accounting  Accounting principles  ERP  ERP systems  excel  Finance  Financial Analysis  General Ledger, 5+ Yrs of Exp 
Senior BOQ & Specification Engineer,Elgabaly Architects,"New Cairo, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/2YgMr4HfwOnh-Senior-BOQ-Specification-Engineer-Elgabaly-Architects-Cairo-Egypt?o=781&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Construction/Civil/Architecture  Bill Of Quantities  BOQ  Architecture  Architectural Engineering  Revit  Adobe Photoshop  AutoCAD  Civil Engineering  Engineering, 10 - 15 Yrs of Exp 
Junior Accountant,Confidential,"Smouha, Alexandria, Egypt",14 days ago,https://wuzzuf.net/jobs/p/oIktmSjn42Hl-Junior-Accountant-Alexandria-Egypt?o=782&l=sp&t=sj&a=data |search-v3|navbg,Full Time, males_preferred  Accounting/Finance  Junior Accountant  accountant  Accounting, 1 - 3 Yrs of Exp 
Admin Assistant - New cairo Branch,UCMAS Academy,"New Cairo, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/DvHGDSLhUWJh-Admin-Assistant---New-cairo-Branch-UCMAS-Academy-Cairo-Egypt?o=783&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Customer Service/Support  Communication  Administration  Microsoft Office  Office management  Secretary  Microsoft, 1 - 3 Yrs of Exp 
React Native Developer & ReactJS,SSC Egypt,"Maadi, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/8TMjhQQVXA8p-React-Native-Developer-ReactJS-SSC-Egypt-Cairo-Egypt?o=784&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Computer Engineering  Computer Science  Engineering  React Native  React.js, 1 - 3 Yrs of Exp 
